          x            density        pressure        velocity        internal energy
   2.3125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.3375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.3625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.3875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.4125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.4375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.4625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.4875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.5125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.5375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.5625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.5875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.6125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.6375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.6625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.6875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.7125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.7375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.7625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.7875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.8125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.8375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.8625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.8875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.9125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.9375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.9625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   2.9875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.0125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.0375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.0625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.0875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.1125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.1375000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.1625000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.1875000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.2125000E-01   1.0000000E+00   0.0000000E+00   1.0000000E+00   2.5000000E+00
   3.2375000E-01   1.0000000E+00   6.8955375E-03   1.0000000E+00   2.5000000E+00
   3.2625000E-01   9.8839863E-01   2.0735519E-02   9.8379585E-01   2.4883580E+00
   3.2875000E-01   9.7682405E-01   3.4624408E-02   9.6770477E-01   2.4766609E+00
   3.3125000E-01   9.6535816E-01   4.8513297E-02   9.5183980E-01   2.4649913E+00
   3.3375000E-01   9.5400019E-01   6.2402186E-02   9.3619829E-01   2.4533493E+00
   3.3625000E-01   9.4274938E-01   7.6291075E-02   9.2077762E-01   2.4417349E+00
   3.3875000E-01   9.3160496E-01   9.0179964E-02   9.0557518E-01   2.4301480E+00
   3.4125000E-01   9.2056619E-01   1.0406885E-01   8.9058839E-01   2.4185887E+00
   3.4375000E-01   9.0963231E-01   1.1795774E-01   8.7581470E-01   2.4070569E+00
   3.4625000E-01   8.9880257E-01   1.3184663E-01   8.6125158E-01   2.3955527E+00
   3.4875000E-01   8.8807623E-01   1.4573552E-01   8.4689651E-01   2.3840761E+00
