          x            density        pressure        velocity        internal energy
   2.9750000E-01   6.1890785E-01   1.7117978E+01   5.1082999E+02   2.0634332E+03
   3.0000000E-01   6.1575337E-01   1.7291589E+01   5.0718864E+02   2.0592199E+03
   3.0250000E-01   6.1261178E-01   1.7465200E+01   5.0356957E+02   2.0550110E+03
   3.0500000E-01   6.0948301E-01   1.7638812E+01   4.9997265E+02   2.0508063E+03
   3.0750000E-01   6.0636705E-01   1.7812423E+01   4.9639778E+02   2.0466060E+03
   3.1000000E-01   6.0326384E-01   1.7986034E+01   4.9284483E+02   2.0424100E+03
   3.1250000E-01   6.0017334E-01   1.8159645E+01   4.8931371E+02   2.0382183E+03
   3.1500000E-01   5.9709553E-01   1.8333256E+01   4.8580429E+02   2.0340309E+03
   3.1750000E-01   5.9403036E-01   1.8506867E+01   4.8231648E+02   2.0298478E+03
   3.2000000E-01   5.9097779E-01   1.8680478E+01   4.7885014E+02   2.0256690E+03
   3.2250000E-01   5.8793778E-01   1.8854089E+01   4.7540518E+02   2.0214945E+03
   3.2500000E-01   5.8491029E-01   1.9027700E+01   4.7198149E+02   2.0173243E+03
   3.2750000E-01   5.8189529E-01   1.9201312E+01   4.6857895E+02   2.0131584E+03
   3.3000000E-01   5.7889273E-01   1.9374923E+01   4.6519746E+02   2.0089968E+03
   3.3250000E-01   5.7590258E-01   1.9548534E+01   4.6183691E+02   2.0048395E+03
   3.3500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.3750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.4000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.4250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.4500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.4750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.5000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.5250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.5500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.5750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.6000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.6250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.6500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.6750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.7000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.7250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.7500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.7750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.8000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.8250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.8500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.8750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.9000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.9250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.9500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   3.9750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.0000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.0250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.0500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.0750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.1000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.1250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.1500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.1750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.2000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.2250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.2500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.2750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.3000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.3250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.3500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.3750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.4000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.4250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.4500000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.4750000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.5000000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
   4.5250000E-01   5.7506230E-01   1.9597451E+01   4.6089379E+02   2.0036689E+03
