          x            density        pressure        velocity        internal energy
   4.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   4.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   4.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
